,,,,Өңір,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ҚАЗАҚСТАН,,Астана қаласы,,Алматы қаласы,,Абай облысы,,Ақмола облысы,,Ақтөбе облысы,,Алматы облысы,,Атырау облысы,,Батыс Қазақстан облысы,,Жамбыл облысы,,Жетісу облысы,,Қарағанды облысы,,Қостанай облысы,,Қызылорда облысы,,Маңғыстау облысы,,Түркістан облысы,,Ұлытау облысы,,Павлодар облысы,,Солтүстік Қазақстан облысы,,Шығыс Қазақстан облысы,,Шымкент қаласы,
,Апта сайын,206,"17,2%",11,"12,6%",33,"23,2%",6,"15,8%",1,"2,0%",8,"14,5%",13,"14,6%",6,"15,4%",7,"16,3%",13,"18,8%",7,"17,1%",12,"16,2%",17,"29,8%",14,"30,4%",7,"16,7%",13,"11,7%",1,"7,7%",13,"26,0%",10,"27,0%",9,"18,0%",5,"7,6%"
,Ай сайын,62,"5,2%",7,"8,0%",1,",7%",2,"5,3%",1,"2,0%",5,"9,1%",13,"14,6%",1,"2,6%",5,"11,6%",5,"7,2%",3,"7,3%",3,"4,1%",3,"5,3%",4,"8,7%",0,"0,0%",4,"3,6%",0,"0,0%",1,"2,0%",0,"0,0%",4,"8,0%",0,"0,0%"
,Айына бір реттен сирек,56,"4,7%",5,"5,7%",4,"2,8%",0,"0,0%",4,"7,8%",3,"5,5%",6,"6,7%",1,"2,6%",1,"2,3%",4,"5,8%",0,"0,0%",5,"6,8%",5,"8,8%",0,"0,0%",1,"2,4%",3,"2,7%",0,"0,0%",4,"8,0%",6,"16,2%",2,"4,0%",2,"3,0%"
,Ешқашан,174,"14,5%",31,"35,6%",5,"3,5%",7,"18,4%",36,"70,6%",14,"25,5%",6,"6,7%",4,"10,3%",4,"9,3%",6,"8,7%",2,"4,9%",6,"8,1%",4,"7,0%",5,"10,9%",6,"14,3%",13,"11,7%",0,"0,0%",17,"34,0%",5,"13,5%",1,"2,0%",2,"3,0%"
,Жауап беруден бас тарту,10,",8%",2,"2,3%",1,",7%",0,"0,0%",0,"0,0%",1,"1,8%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",0,"0,0%",0,"0,0%",1,"2,2%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,7%",0,"0,0%",0,"0,0%"
,Жауап беру қиын,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
"4.4. Әлеуметтік желілер арқылы жаңалықтар — Facebook, Twitter, Telegram, Instagram, YouTube және т.б.",Күн сайын,747,"62,3%",43,"49,4%",98,"69,0%",24,"63,2%",48,"94,1%",28,"50,9%",46,"51,7%",30,"76,9%",26,"60,5%",43,"62,3%",22,"53,7%",42,"56,8%",32,"56,1%",27,"58,7%",21,"50,0%",75,"67,6%",13,"100,0%",21,"42,0%",19,"51,4%",36,"72,0%",53,"80,3%"
,Апта сайын,171,"14,3%",13,"14,9%",26,"18,3%",5,"13,2%",1,"2,0%",10,"18,2%",16,"18,0%",5,"12,8%",9,"20,9%",11,"15,9%",3,"7,3%",12,"16,2%",11,"19,3%",7,"15,2%",2,"4,8%",15,"13,5%",0,"0,0%",11,"22,0%",5,"13,5%",4,"8,0%",5,"7,6%"
,Ай сайын,52,"4,3%",5,"5,7%",1,",7%",2,"5,3%",0,"0,0%",2,"3,6%",13,"14,6%",1,"2,6%",1,"2,3%",4,"5,8%",2,"4,9%",3,"4,1%",1,"1,8%",3,"6,5%",2,"4,8%",2,"1,8%",0,"0,0%",3,"6,0%",1,"2,7%",2,"4,0%",4,"6,1%"
,Айына бір реттен сирек,58,"4,8%",7,"8,0%",3,"2,1%",3,"7,9%",0,"0,0%",2,"3,6%",6,"6,7%",2,"5,1%",1,"2,3%",3,"4,3%",2,"4,9%",9,"12,2%",7,"12,3%",1,"2,2%",0,"0,0%",3,"2,7%",0,"0,0%",3,"6,0%",4,"10,8%",1,"2,0%",1,"1,5%"
,Ешқашан,166,"13,8%",19,"21,8%",13,"9,2%",4,"10,5%",2,"3,9%",13,"23,6%",7,"7,9%",1,"2,6%",6,"14,0%",8,"11,6%",10,"24,4%",8,"10,8%",6,"10,5%",7,"15,2%",16,"38,1%",16,"14,4%",0,"0,0%",12,"24,0%",8,"21,6%",7,"14,0%",3,"4,5%"
,Жауап беруден бас тарту,6,",5%",0,"0,0%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",0,"0,0%",0,"0,0%",1,"2,2%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Жауап беру қиын,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
