,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
,"Общество людей, проявляющих заботу о других людях",86,"11,9%",10,"18,9%",6,"5,9%",3,"12,5%",0,"0,0%",2,"16,7%",9,"20,5%",3,"17,6%",5,"19,2%",9,"18,8%",2,"8,0%",6,"12,8%",8,"18,6%",2,"13,3%",1,"5,0%",2,"2,7%",0,"0,0%",5,"15,2%",3,"11,5%",4,"11,1%",6,"11,8%"
,Другое,1,",1%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Затрудняюсь ответить,14,"1,9%",0,"0,0%",2,"2,0%",1,"4,2%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,2%",5,"20,0%",2,"4,3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"5,6%",0,"0,0%"
,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
8. Гражданская активность – это:,Борьба с властью и за власть,91,"7,6%",8,"9,2%",10,"7,0%",3,"7,9%",4,"7,8%",6,"10,9%",10,"11,2%",1,"2,6%",4,"9,3%",6,"8,7%",3,"7,3%",2,"2,7%",5,"8,8%",8,"17,4%",1,"2,4%",8,"7,2%",2,"15,4%",4,"8,0%",2,"5,4%",4,"8,0%",0,"0,0%"
,Оказание давления на власть,43,"3,6%",4,"4,6%",7,"4,9%",0,"0,0%",0,"0,0%",4,"7,3%",2,"2,2%",3,"7,7%",0,"0,0%",2,"2,9%",3,"7,3%",2,"2,7%",1,"1,8%",1,"2,2%",0,"0,0%",9,"8,1%",0,"0,0%",3,"6,0%",1,"2,7%",1,"2,0%",0,"0,0%"
,Сотрудничество между гражданами,345,"28,8%",16,"18,4%",39,"27,5%",5,"13,2%",12,"23,5%",18,"32,7%",19,"21,3%",10,"25,6%",14,"32,6%",25,"36,2%",10,"24,4%",17,"23,0%",9,"15,8%",12,"26,1%",15,"35,7%",49,"44,1%",1,"7,7%",14,"28,0%",12,"32,4%",13,"26,0%",35,"53,0%"
,Взаимодействие общества и государства,342,"28,5%",32,"36,8%",40,"28,2%",24,"63,2%",21,"41,2%",14,"25,5%",29,"32,6%",12,"30,8%",10,"23,3%",19,"27,5%",6,"14,6%",27,"36,5%",19,"33,3%",7,"15,2%",7,"16,7%",24,"21,6%",5,"38,5%",17,"34,0%",10,"27,0%",12,"24,0%",7,"10,6%"
,Наличие гражданской позиции по общественно значимым вопросам,246,"20,5%",9,"10,3%",35,"24,6%",5,"13,2%",10,"19,6%",6,"10,9%",16,"18,0%",6,"15,4%",10,"23,3%",14,"20,3%",5,"12,2%",18,"24,3%",20,"35,1%",14,"30,4%",11,"26,2%",15,"13,5%",2,"15,4%",8,"16,0%",6,"16,2%",13,"26,0%",23,"34,8%"
,Другое,2,",2%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,4%",1,"1,8%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Затрудняюсь ответить,131,"10,9%",18,"20,7%",11,"7,7%",1,"2,6%",4,"7,8%",7,"12,7%",13,"14,6%",7,"17,9%",5,"11,6%",3,"4,3%",14,"34,1%",7,"9,5%",2,"3,5%",4,"8,7%",8,"19,0%",6,"5,4%",3,"23,1%",4,"8,0%",6,"16,2%",7,"14,0%",1,"1,5%"
,,КАЗАХСТАН,,г. Астана,,г. Алматы,,Абайская область,,Акмолинская область,,Актюбинская область,,Алматинская область,,Атырауская область,,Западно-Казахстанская область,,Жамбылская область,,Жетысуская область,,Карагандинская область,,Костанайская область,,Кызылординская область,,Мангистауская область,,Туркестанская область,,Улытауская область,,Павлодарская область,,Северо-Казахстанская область,,Востночно-Казахстанская область,,г. Шымкент,
"9.1. Коллективное благоустройство подъездов, домов, детских площадок, окружающих территорий",Участвовал,459,"38,3%",24,"27,6%",33,"23,2%",21,"55,3%",22,"43,1%",18,"32,7%",34,"38,2%",9,"23,1%",16,"37,2%",34,"49,3%",16,"39,0%",34,"45,9%",30,"52,6%",11,"23,9%",5,"11,9%",39,"35,1%",7,"53,8%",29,"58,0%",24,"64,9%",22,"44,0%",31,"47,0%"
,Мог бы участвовать,421,"35,1%",42,"48,3%",56,"39,4%",9,"23,7%",10,"19,6%",26,"47,3%",18,"20,2%",18,"46,2%",19,"44,2%",18,"26,1%",7,"17,1%",26,"35,1%",15,"26,3%",22,"47,8%",17,"40,5%",40,"36,0%",5,"38,5%",14,"28,0%",8,"21,6%",20,"40,0%",31,"47,0%"
,Никогда не стал бы участвовать,298,"24,8%",17,"19,5%",45,"31,7%",8,"21,1%",19,"37,3%",11,"20,0%",36,"40,4%",12,"30,8%",8,"18,6%",17,"24,6%",14,"34,1%",12,"16,2%",12,"21,1%",12,"26,1%",20,"47,6%",32,"28,8%",0,"0,0%",7,"14,0%",5,"13,5%",7,"14,0%",4,"6,1%"
,Затурдняюсь ответить,17,"1,4%",4,"4,6%",6,"4,2%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",3,"7,3%",2,"2,7%",0,"0,0%",1,"2,2%",0,"0,0%",0,"0,0%",1,"7,7%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Отказ от ответа,5,",4%",0,"0,0%",2,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,0%",0,"0,0%"
"9.2. Сбор средств, вещей для людей, попавших в тяжелое положение (стихийное бедствие, паводки, лечение)",Участвовал,562,"46,8%",34,"39,1%",49,"34,5%",25,"65,8%",31,"60,8%",22,"40,0%",43,"48,3%",25,"64,1%",22,"51,2%",36,"52,2%",14,"34,1%",40,"54,1%",37,"64,9%",16,"34,8%",11,"26,2%",42,"37,8%",8,"61,5%",24,"48,0%",24,"64,9%",28,"56,0%",31,"47,0%"
,Мог бы участвовать,467,"38,9%",38,"43,7%",66,"46,5%",9,"23,7%",11,"21,6%",24,"43,6%",27,"30,3%",9,"23,1%",14,"32,6%",21,"30,4%",13,"31,7%",26,"35,1%",16,"28,1%",27,"58,7%",19,"45,2%",55,"49,5%",5,"38,5%",22,"44,0%",13,"35,1%",20,"40,0%",32,"48,5%"
,Никогда не стал бы участвовать,159,"13,3%",12,"13,8%",27,"19,0%",4,"10,5%",9,"17,6%",9,"16,4%",18,"20,2%",5,"12,8%",7,"16,3%",12,"17,4%",11,"26,8%",7,"9,5%",4,"7,0%",2,"4,3%",11,"26,2%",13,"11,7%",0,"0,0%",4,"8,0%",0,"0,0%",1,"2,0%",3,"4,5%"
,Затурдняюсь ответить,7,",6%",3,"3,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",1,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",1,",9%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Отказ от ответа,5,",4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",1,"2,2%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,0%",0,"0,0%"
9.3. Участие в выборах (голосовании),Участвовал,813,"67,8%",57,"65,5%",86,"60,6%",31,"81,6%",34,"66,7%",36,"65,5%",51,"57,3%",29,"74,4%",37,"86,0%",55,"79,7%",18,"43,9%",48,"64,9%",47,"82,5%",38,"82,6%",30,"71,4%",57,"51,4%",8,"61,5%",32,"64,0%",28,"75,7%",40,"80,0%",51,"77,3%"
,Мог бы участвовать,186,"15,5%",18,"20,7%",22,"15,5%",1,"2,6%",3,"5,9%",14,"25,5%",15,"16,9%",5,"12,8%",3,"7,0%",8,"11,6%",7,"17,1%",12,"16,2%",7,"12,3%",3,"6,5%",5,"11,9%",32,"28,8%",4,"30,8%",5,"10,0%",7,"18,9%",6,"12,0%",9,"13,6%"
,Никогда не стал бы участвовать,190,"15,8%",11,"12,6%",33,"23,2%",6,"15,8%",14,"27,5%",5,"9,1%",21,"23,6%",5,"12,8%",3,"7,0%",6,"8,7%",13,"31,7%",13,"17,6%",3,"5,3%",5,"10,9%",5,"11,9%",21,"18,9%",1,"7,7%",13,"26,0%",2,"5,4%",4,"8,0%",6,"9,1%"
,Затурдняюсь ответить,8,",7%",1,"1,1%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",1,"1,4%",0,"0,0%",0,"0,0%",1,"2,4%",1,",9%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Отказ от ответа,3,",3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
"9.4. Участие в митингах, демонстрациях, пикетах по поводу событий в жизни страны, региона, Вашего населенного пункта",Участвовал,61,"5,1%",1,"1,1%",9,"6,3%",1,"2,6%",1,"2,0%",3,"5,5%",10,"11,2%",1,"2,6%",2,"4,7%",1,"1,4%",3,"7,3%",2,"2,7%",1,"1,8%",1,"2,2%",2,"4,8%",14,"12,6%",1,"7,7%",2,"4,0%",4,"10,8%",0,"0,0%",2,"3,0%"
,Мог бы участвовать,108,"9,0%",2,"2,3%",20,"14,1%",0,"0,0%",0,"0,0%",5,"9,1%",9,"10,1%",9,"23,1%",2,"4,7%",5,"7,2%",3,"7,3%",9,"12,2%",2,"3,5%",3,"6,5%",4,"9,5%",13,"11,7%",3,"23,1%",5,"10,0%",5,"13,5%",3,"6,0%",6,"9,1%"
,Никогда не стал бы участвовать,1003,"83,6%",81,"93,1%",111,"78,2%",37,"97,4%",50,"98,0%",46,"83,6%",66,"74,2%",29,"74,4%",39,"90,7%",63,"91,3%",31,"75,6%",55,"74,3%",54,"94,7%",42,"91,3%",36,"85,7%",82,"73,9%",8,"61,5%",43,"86,0%",25,"67,6%",47,"94,0%",58,"87,9%"
,Затурдняюсь ответить,23,"1,9%",3,"3,4%",2,"1,4%",0,"0,0%",0,"0,0%",1,"1,8%",2,"2,2%",0,"0,0%",0,"0,0%",0,"0,0%",3,"7,3%",7,"9,5%",0,"0,0%",0,"0,0%",0,"0,0%",2,"1,8%",1,"7,7%",0,"0,0%",2,"5,4%",0,"0,0%",0,"0,0%"
,Отказ от ответа,5,",4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"2,2%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",1,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,7%",0,"0,0%",0,"0,0%"
"9.5. Участие в деятельности общественных организаций (правозащитных, благотворительных, экологических)",Участвовал,233,"19,4%",4,"4,6%",30,"21,1%",2,"5,3%",11,"21,6%",3,"5,5%",21,"23,6%",11,"28,2%",10,"23,3%",12,"17,4%",9,"22,0%",16,"21,6%",14,"24,6%",5,"10,9%",9,"21,4%",29,"26,1%",3,"23,1%",12,"24,0%",11,"29,7%",13,"26,0%",8,"12,1%"
,Мог бы участвовать,330,"27,5%",17,"19,5%",52,"36,6%",6,"15,8%",2,"3,9%",12,"21,8%",21,"23,6%",15,"38,5%",5,"11,6%",17,"24,6%",8,"19,5%",16,"21,6%",15,"26,3%",10,"21,7%",11,"26,2%",50,"45,0%",7,"53,8%",14,"28,0%",7,"18,9%",15,"30,0%",30,"45,5%"
,Никогда не стал бы участвовать,610,"50,8%",63,"72,4%",59,"41,5%",30,"78,9%",38,"74,5%",39,"70,9%",45,"50,6%",13,"33,3%",26,"60,5%",40,"58,0%",20,"48,8%",34,"45,9%",28,"49,1%",31,"67,4%",21,"50,0%",31,"27,9%",2,"15,4%",24,"48,0%",17,"45,9%",21,"42,0%",28,"42,4%"
,Затурдняюсь ответить,22,"1,8%",3,"3,4%",1,",7%",0,"0,0%",0,"0,0%",1,"1,8%",1,"1,1%",0,"0,0%",2,"4,7%",0,"0,0%",2,"4,9%",7,"9,5%",0,"0,0%",0,"0,0%",1,"2,4%",1,",9%",1,"7,7%",0,"0,0%",1,"2,7%",1,"2,0%",0,"0,0%"
,Отказ от ответа,5,",4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",1,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,7%",0,"0,0%",0,"0,0%"
"9.6. Участие в деятельности политических партий, движений",Участвовал,87,"7,3%",3,"3,4%",16,"11,3%",1,"2,6%",5,"9,8%",2,"3,6%",5,"5,6%",1,"2,6%",6,"14,0%",3,"4,3%",3,"7,3%",4,"5,4%",1,"1,8%",4,"8,7%",1,"2,4%",19,"17,1%",1,"7,7%",6,"12,0%",5,"13,5%",0,"0,0%",1,"1,5%"
,Мог бы участвовать,169,"14,1%",5,"5,7%",33,"23,2%",2,"5,3%",1,"2,0%",4,"7,3%",14,"15,7%",4,"10,3%",1,"2,3%",7,"10,1%",2,"4,9%",12,"16,2%",12,"21,1%",2,"4,3%",6,"14,3%",28,"25,2%",6,"46,2%",8,"16,0%",1,"2,7%",7,"14,0%",14,"21,2%"
,Никогда не стал бы участвовать,911,"75,9%",74,"85,1%",90,"63,4%",35,"92,1%",45,"88,2%",48,"87,3%",68,"76,4%",34,"87,2%",35,"81,4%",58,"84,1%",32,"78,0%",50,"67,6%",44,"77,2%",40,"87,0%",34,"81,0%",62,"55,9%",6,"46,2%",35,"70,0%",28,"75,7%",42,"84,0%",51,"77,3%"
,Затурдняюсь ответить,25,"2,1%",5,"5,7%",3,"2,1%",0,"0,0%",0,"0,0%",1,"1,8%",0,"0,0%",0,"0,0%",1,"2,3%",1,"1,4%",2,"4,9%",6,"8,1%",0,"0,0%",0,"0,0%",1,"2,4%",2,"1,8%",0,"0,0%",1,"2,0%",1,"2,7%",1,"2,0%",0,"0,0%"
,Отказ от ответа,8,",7%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"2,2%",0,"0,0%",0,"0,0%",0,"0,0%",2,"4,9%",2,"2,7%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"5,4%",0,"0,0%",0,"0,0%"
9.7. Участвовал в проведении избирательной кампании (сбор подписей),Участвовал,164,"13,7%",2,"2,3%",24,"16,9%",4,"10,5%",10,"19,6%",4,"7,3%",10,"11,2%",2,"5,1%",8,"18,6%",7,"10,1%",5,"12,2%",12,"16,2%",6,"10,5%",11,"23,9%",2,"4,8%",26,"23,4%",1,"7,7%",11,"22,0%",7,"18,9%",6,"12,0%",6,"9,1%"
,Мог бы участвовать,169,"14,1%",8,"9,2%",30,"21,1%",2,"5,3%",2,"3,9%",7,"12,7%",9,"10,1%",5,"12,8%",3,"7,0%",6,"8,7%",4,"9,8%",12,"16,2%",6,"10,5%",6,"13,0%",7,"16,7%",25,"22,5%",5,"38,5%",11,"22,0%",2,"5,4%",5,"10,0%",14,"21,2%"
,Никогда не стал бы участвовать,843,"70,3%",75,"86,2%",86,"60,6%",32,"84,2%",39,"76,5%",44,"80,0%",69,"77,5%",32,"82,1%",32,"74,4%",54,"78,3%",28,"68,3%",45,"60,8%",45,"78,9%",29,"63,0%",31,"73,8%",59,"53,2%",6,"46,2%",28,"56,0%",25,"67,6%",38,"76,0%",46,"69,7%"
,Затурдняюсь ответить,18,"1,5%",2,"2,3%",2,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"2,9%",3,"7,3%",4,"5,4%",0,"0,0%",0,"0,0%",1,"2,4%",1,",9%",0,"0,0%",0,"0,0%",2,"5,4%",1,"2,0%",0,"0,0%"
,Отказ от ответа,6,",5%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",1,"1,4%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",1,"7,7%",0,"0,0%",1,"2,7%",0,"0,0%",0,"0,0%"
9.8. Участие в забастовках,Участвовал,43,"3,6%",0,"0,0%",10,"7,0%",0,"0,0%",1,"2,0%",2,"3,6%",1,"1,1%",0,"0,0%",2,"4,7%",1,"1,4%",0,"0,0%",6,"8,1%",0,"0,0%",0,"0,0%",1,"2,4%",12,"10,8%",0,"0,0%",3,"6,0%",2,"5,4%",1,"2,0%",1,"1,5%"
,Мог бы участвовать,67,"5,6%",0,"0,0%",13,"9,2%",1,"2,6%",0,"0,0%",5,"9,1%",8,"9,0%",2,"5,1%",0,"0,0%",1,"1,4%",1,"2,4%",5,"6,8%",0,"0,0%",3,"6,5%",3,"7,1%",11,"9,9%",3,"23,1%",4,"8,0%",2,"5,4%",1,"2,0%",4,"6,1%"
,Никогда не стал бы участвовать,1066,"88,8%",85,"97,7%",115,"81,0%",37,"97,4%",50,"98,0%",47,"85,5%",79,"88,8%",37,"94,9%",41,"95,3%",66,"95,7%",36,"87,8%",58,"78,4%",57,"100,0%",42,"91,3%",37,"88,1%",87,"78,4%",9,"69,2%",43,"86,0%",32,"86,5%",47,"94,0%",61,"92,4%"
,Затурдняюсь ответить,19,"1,6%",2,"2,3%",3,"2,1%",0,"0,0%",0,"0,0%",1,"1,8%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,4%",3,"7,3%",4,"5,4%",0,"0,0%",1,"2,2%",0,"0,0%",1,",9%",1,"7,7%",0,"0,0%",1,"2,7%",1,"2,0%",0,"0,0%"
,Отказ от ответа,5,",4%",0,"0,0%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",1,"1,4%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
"9.9. Помощь одиноким людям, пожилым, инвалидам",Участвовал,463,"38,6%",17,"19,5%",48,"33,8%",22,"57,9%",24,"47,1%",9,"16,4%",38,"42,7%",16,"41,0%",18,"41,9%",32,"46,4%",12,"29,3%",34,"45,9%",30,"52,6%",17,"37,0%",11,"26,2%",42,"37,8%",8,"61,5%",21,"42,0%",23,"62,2%",23,"46,0%",18,"27,3%"
,Мог бы участвовать,482,"40,2%",46,"52,9%",67,"47,2%",9,"23,7%",6,"11,8%",31,"56,4%",20,"22,5%",20,"51,3%",18,"41,9%",22,"31,9%",15,"36,6%",27,"36,5%",20,"35,1%",22,"47,8%",18,"42,9%",52,"46,8%",5,"38,5%",21,"42,0%",7,"18,9%",22,"44,0%",34,"51,5%"
,Никогда не стал бы участвовать,244,"20,3%",23,"26,4%",26,"18,3%",7,"18,4%",21,"41,2%",15,"27,3%",30,"33,7%",3,"7,7%",7,"16,3%",15,"21,7%",10,"24,4%",10,"13,5%",7,"12,3%",7,"15,2%",13,"31,0%",16,"14,4%",0,"0,0%",8,"16,0%",7,"18,9%",5,"10,0%",14,"21,2%"
,Затурдняюсь ответить,9,",8%",1,"1,1%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",3,"7,3%",3,"4,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,",9%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Отказ от ответа,2,",2%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
"9.10. Участвовал в деятельности религиозной общины, церковного прихода",Участвовал,91,"7,6%",3,"3,4%",20,"14,1%",1,"2,6%",0,"0,0%",3,"5,5%",10,"11,2%",4,"10,3%",3,"7,0%",5,"7,2%",3,"7,3%",5,"6,8%",1,"1,8%",3,"6,5%",2,"4,8%",14,"12,6%",0,"0,0%",3,"6,0%",7,"18,9%",1,"2,0%",3,"4,5%"
,Мог бы участвовать,131,"10,9%",6,"6,9%",27,"19,0%",1,"2,6%",0,"0,0%",6,"10,9%",12,"13,5%",8,"20,5%",1,"2,3%",7,"10,1%",8,"19,5%",4,"5,4%",7,"12,3%",4,"8,7%",4,"9,5%",14,"12,6%",1,"7,7%",6,"12,0%",2,"5,4%",9,"18,0%",4,"6,1%"
,Никогда не стал бы участвовать,951,"79,3%",77,"88,5%",90,"63,4%",36,"94,7%",51,"100,0%",46,"83,6%",65,"73,0%",27,"69,2%",39,"90,7%",54,"78,3%",26,"63,4%",63,"85,1%",49,"86,0%",38,"82,6%",33,"78,6%",83,"74,8%",10,"76,9%",41,"82,0%",26,"70,3%",38,"76,0%",59,"89,4%"
,Затурдняюсь ответить,18,"1,5%",1,"1,1%",4,"2,8%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"2,9%",3,"7,3%",1,"1,4%",0,"0,0%",1,"2,2%",2,"4,8%",0,"0,0%",1,"7,7%",0,"0,0%",1,"2,7%",2,"4,0%",0,"0,0%"
,Отказ от ответа,9,",8%",0,"0,0%",1,",7%",0,"0,0%",0,"0,0%",0,"0,0%",2,"2,2%",0,"0,0%",0,"0,0%",1,"1,4%",1,"2,4%",1,"1,4%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",1,"7,7%",0,"0,0%",1,"2,7%",0,"0,0%",0,"0,0%"
9.11. Сдавал кровь в качестве донора,Участвовал,338,"28,2%",18,"20,7%",36,"25,4%",19,"50,0%",22,"43,1%",8,"14,5%",16,"18,0%",16,"41,0%",14,"32,6%",22,"31,9%",7,"17,1%",25,"33,8%",19,"33,3%",5,"10,9%",8,"19,0%",31,"27,9%",5,"38,5%",18,"36,0%",22,"59,5%",18,"36,0%",9,"13,6%"
,Мог бы участвовать,328,"27,3%",25,"28,7%",47,"33,1%",9,"23,7%",6,"11,8%",15,"27,3%",17,"19,1%",12,"30,8%",9,"20,9%",7,"10,1%",8,"19,5%",14,"18,9%",13,"22,8%",20,"43,5%",9,"21,4%",43,"38,7%",5,"38,5%",10,"20,0%",2,"5,4%",20,"40,0%",37,"56,1%"
,Никогда не стал бы участвовать,523,"43,6%",43,"49,4%",59,"41,5%",10,"26,3%",23,"45,1%",32,"58,2%",55,"61,8%",11,"28,2%",20,"46,5%",40,"58,0%",22,"53,7%",33,"44,6%",25,"43,9%",20,"43,5%",24,"57,1%",37,"33,3%",3,"23,1%",22,"44,0%",13,"35,1%",11,"22,0%",20,"30,3%"
,Затурдняюсь ответить,7,",6%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",3,"7,3%",1,"1,4%",0,"0,0%",1,"2,2%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,0%",0,"0,0%"
,Отказ от ответа,4,",3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",1,"1,4%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
9.12. Денежные пожертвования в фонд какой-либо организации или общественно-полезной акции,Участвовал,398,"33,2%",18,"20,7%",50,"35,2%",16,"42,1%",26,"51,0%",14,"25,5%",23,"25,8%",22,"56,4%",17,"39,5%",33,"47,8%",10,"24,4%",32,"43,2%",17,"29,8%",7,"15,2%",10,"23,8%",31,"27,9%",7,"53,8%",23,"46,0%",15,"40,5%",17,"34,0%",10,"15,2%"
,Мог бы участвовать,298,"24,8%",14,"16,1%",37,"26,1%",7,"18,4%",2,"3,9%",13,"23,6%",19,"21,3%",9,"23,1%",9,"20,9%",8,"11,6%",9,"22,0%",13,"17,6%",17,"29,8%",15,"32,6%",11,"26,2%",43,"38,7%",4,"30,8%",13,"26,0%",7,"18,9%",20,"40,0%",28,"42,4%"
,Никогда не стал бы участвовать,487,"40,6%",51,"58,6%",53,"37,3%",15,"39,5%",23,"45,1%",28,"50,9%",46,"51,7%",8,"20,5%",17,"39,5%",27,"39,1%",18,"43,9%",27,"36,5%",22,"38,6%",23,"50,0%",20,"47,6%",37,"33,3%",2,"15,4%",14,"28,0%",15,"40,5%",13,"26,0%",28,"42,4%"
,Затурдняюсь ответить,14,"1,2%",4,"4,6%",2,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,4%",3,"7,3%",1,"1,4%",1,"1,8%",1,"2,2%",1,"2,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,Отказ от ответа,3,",3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",1,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%"
9.13. Обращения в государственные органы для решения общественных вопросов,Участвовал,175,"14,6%",5,"5,7%",23,"16,2%",6,"15,8%",7,"13,7%",3,"5,5%",14,"15,7%",4,"10,3%",12,"27,9%",10,"14,5%",4,"9,8%",10,"13,5%",2,"3,5%",8,"17,4%",3,"7,1%",22,"19,8%",3,"23,1%",15,"30,0%",12,"32,4%",6,"12,0%",6,"9,1%"
,Мог бы участвовать,264,"22,0%",18,"20,7%",41,"28,9%",6,"15,8%",2,"3,9%",10,"18,2%",10,"11,2%",9,"23,1%",5,"11,6%",11,"15,9%",6,"14,6%",14,"18,9%",11,"19,3%",8,"17,4%",10,"23,8%",39,"35,1%",5,"38,5%",13,"26,0%",2,"5,4%",15,"30,0%",29,"43,9%"
